YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Sameer Aman,1,1,1KOMMA5,Sameer Aman.png,https://www.linkedin.com/in/fasameer/,,,,LLMs in Production: What Actually Breaks,"This talk explores what actually breaks in production: ambiguity, hallucinations, and the challenge of mapping natural language to real business logic. It offers a practical look at turning LLM demos into reliable, production-ready systems.",,"Sameer Aman is a Senior Full Stack Engineer based in Hamburg, Germany, currently with 1KOMMA5°. He specializes in building clean, scalable, and user-focused systems across frontend and backend environments. His background includes roles at Wunder Mobility and earlier product leadership positions in India. Sameer’s core strengths include software architecture, Domain-Driven Design, CI/CD, and full stack development, with a reputation for ownership, collaboration, and delivering high-quality engineering solutions."
,confirmed,John Robert,1,1,Sunnic Lighthouse GmbH,John Robert.png,https://www.linkedin.com/in/john-robert-587907103/,,,,How to cut AI agent cost,"AI agents often make unnecessary LLM calls, process excessive context, and invoke expensive tools more frequently than needed. In this talk, I'll demonstrate practical techniques that can dramatically reduce operating costs while maintaining user experience and reliability. ",,"John Robert leads data and cloud projects at Sunnic Lighthouse (Enerparc AG), where he works on building and operating data-intensive workflows in production. He has over eight years of experience with Python, machine learning, and AI, and began his career working on autonomous driving systems at Daimler (Mercedes-Benz).

John has spoken at conferences across Europe, the United States, and other regions, sharing practical insights on building, deploying, and operating AI systems in real-world environments. His current focus is on AI safety and AI security, particularly how agentic and autonomous systems can be designed with clear boundaries and controls.

He is the founder of Don’t Fear AI, an initiative aimed at helping people understand how to use AI responsibly and how to build reliable AI systems without hype or unnecessary complexity. John believes in a future where humans and AI systems work together safely and effectively.
"
,confirmed,Maciej Szymkowski,1,1,Centre for Credible AI,Maciej Szymkowski.png,https://www.linkedin.com/in/maciej-szymkowski-ph-d-75481a228/,,,,Hinton's prophecy revisited: what LLMs and Vision Models mean for the future of radiology,"In 2016, Professor Geoffrey Hinton claimed that radiologists will not be needed anymore, in a short time they will be replaced by AI models (the time horizon was 5 years). Unfortunately, Professor wasn’t right. This time did not yet appear – still radiologist is a significant part of the diagnostics process. However, it must be said that there are several approaches that can give a hand to these medical specialists. This presentation will be divided into two main phases. In the first of them I will present traditional pipelines (based on image/signal processing) for analysis of radiological scans, e.g., liver anatomical scans, - I will use simple approaches as image filtering or thinning to detect pathological changes. In the second part of my talk, I will deeply explain how novel AI models can be used to give a hand to radiologist. I will build a pipeline based on computer vision models (like YOLO) to observe cancer changes but also, will consume ready to use models – e.g., MedSAM to recognize these changes. On the other hand, VLMs will also be used to analyze the samples – Gemini, GPT, Qwen, and InternVL will be run for this aim. Moreover, we will check new MedGemma model – it was claimed as one of the most efficient ones nowadays that can give a hand to radiologists. Finally, we can answer on the main question – are we ready to replace radiologists?",,"Maciej Szymkowski is a Ph.D. in the field of Computer Science. From April 2025, he is working with Future Processing as a Senior Machine Learning Engineer. He is also with Bialystok University of Technology (from 2018, where he was research assistant and right now is moving to assistant professor position). He was previously with Warsaw University of Technology (Faculty of Electronics and Information Technology, 2021-2022) and AGH in Cracow (Faculty of Physics and Applied Computer Science, 2021-2022). He gained his experiences also as a researcher and software engineer in diversified projects and companies (e.g., SoftServe, Symmetra, Transition Technologies, Hemolens Diagnostics). He was also with Łukasiewicz Research Network - Poznan Institute of Technology (2022-2024) where he was a Head of AI Development section. Maciej Szymkowski is an author or co-author of more than 45 research papers published in JCR journals, as chapters in the books or in international conference proceedings. His main research area is Computer Vision – especially in the field of medicine and transport. He is interested in Vision-Language Models (VLMs), Large Language Models (LLMs) and machine learning algorithms. In his free time, he loves to extend his knowledge, take a long walk, read a book or watch soccer, basketball or hockey. He is a fan of Legia Warsaw, Real Madrid, Bayern Munchen (soccer), New York Knicks (basketball) and Pittsburgh Penguins (hockey)."
,confirmed,Virendra Singh Bhalothia,1,1,Kolsetu GmbH,Virendra Singh Bhalothia.png,https://linkedin.com/in/bhalothia,,,,Agentic CI/CD: when your pipeline has opinions,"We ship voice AI agents to regulated industries - healthcare, finance, insurance. Traditional CI/CD breaks when your deployable isn't just code but also prompts, voice configs, and agent behavior definitions. We use GitHub Agentic Workflows as an orchestration layer where AI agents gate, review, and validate other AI agents before they go live. This talk covers the system we built, what broke in production, and what governance looks like when LLMs are making merge decisions for voice AI deployments.",,"Virendra Bhalothia is CTO & Co-Founder at Kolsetu, building compliant voice AI infrastructure for regulated industries in Europe. Previously headed platform engineering at Germany's largest private university - iu.de and served as a Staff Engineer leading multi-disciplinary teams. Based in Hamburg."
,confirmed,Andreas Wagenmann,1,1,Independent,Andreas Wagenmann.png,https://de.linkedin.com/in/andreas-wagenmann,,,,Agents as your Data Team - Or Not?,"The talk discusses the question whether agents can serve in roles of data teams, such as Data Engineer / Scientist / Analyst. While addressing the core questions, it gives practical insights what is needed to extract the most value out of your agent setup, with practical examples and implications for your stack. We will also cover the central topics of evaluation and validation.",,"Andreas Wagenmann is a Freelance Consultant with over 13 years of hands-on experience, building solutions with focus on ML / AI, Data and Search. He consulted for clients such as Kroger (USA) and Otto (Germany) and in diverse topics including big data, analytics, offline and online testing, search systems, data-driven optimization, ML, LLM and agent implementations and evaluations."
,confirmed,Daniel Afonso,1,1,PagerDuty,Daniel Afonso.png,https://www.linkedin.com/in/danieljcafonso/,,danieljcafonso,,Incident Response Reimagined: Accelerating Resolution with AI Agents,"It’s 3:45 AM, and you get paged. Still half asleep, you reach for your laptop. Turns out something is wrong, so you acknowledge the incident and embark on a journey to figure out what is happening, mobilize the right people, and eventually fix the issue. But what if we could make it easier? In this talk, I’ll show how AI agents can help you fast-track triage, coordinate responses, debug problems, and run fixes. To wrap up, I will show how we can go even further and move from merely reacting to incidents to proactively preventing them. In the spirit of shifting left, let’s understand how we can track future incidents our code may cause, right before we commit it!",,"Daniel Afonso is a Senior Developer Advocate at PagerDuty, SolidJS DX team member, Instructor at Egghead.io, and Author of State Management with React Query. Daniel has a full-stack background, having worked with different languages and frameworks on various projects from IoT to Fraud Detection. He is passionate about learning and teaching and has spoken at multiple conferences around the world about topics he loves. In his free time, when he's not learning new technologies or writing about them, he's probably reading comics or watching superhero movies and shows."
,confirmed,Eduardo Pertierra Puche,1,1,MaibornWolff GmbH,Eduardo Pertierra Puche.png,https://www.linkedin.com/in/epertierra,,,,From Prompt to Play: Creating a Fully Generative Agentic Videogame,"What does a fully generative video‑game look like when the entire interaction surface is a language model? In this talk I present the first proof‑of‑concept of an Agentic Video‑Game, a 3‑D multiplayer world where every NPC, quest, and environment reaction is driven by LLM‑powered agents.
By wiring the right architectural layers-state‑centric management, event‑driven orchestration, and a lightweight RAG pipeline that injects lore on demand - we turned a concept into a running prototype that has never been demonstrated before.
I will walk through the design decisions that made the system reliable, showcase the live demo, and dive deep into the challenges and lessons learned while stitching together generative AI, real‑time state sync, and production‑grade robustness.",,"I am an AI Engineer who has spent the last five years consulting at the forefront of the AI wave. While delivering AI automations for MaibornWolff and the BMW Group, I constantly spin up small projects and PoCs that showcase the power of AI, applying the latest technologies and solid AI‑engineering practices to make solutions deployable and production‑ready. My focus is Agentic Coding—building end‑to‑end AI‑driven workflows that turn experimental ideas into reliable, real‑world systems."
,confirmed,Serhat Kayikci,1,1,DentalTwin,Serhat Kayikci.png,https://www.linkedin.com/in/serhatkayikci/,,,,The Missing Layer: Real-Time AI Context with CDC and Kafka,"Somewhere right now, a support chatbot is confidently telling a customer about a product that was discontinued six months ago. The model is fine. The vector database is fine. The batch job that feeds it just hasn’t run yet.
After spending over a decade building high-throughput Kafka and Debezium pipelines for production environments, watching teams bolt state-of-the-art LLMs onto fragile, legacy batch infrastructure is becoming a recognizable and entirely avoidable anti-pattern.
This talk explores Change Data Capture (CDC) as the missing data layer for RAG applications. We will look beyond the whiteboard to see what a real Debezium-to-Kafka-to-LLM pipeline actually looks like, how to handle embeddings in flight, and what breaks in production. The data streaming world solved the stale data problem years ago; it is time we bring those mature, event-driven patterns into the modern AI stack.",,"Serhat Kayikci is a software architect and Senior Consultant at iC Consult in Hamburg, specializing in event-driven architecture, Kafka, and CDC pipelines. With over 15 years of backend engineering experience across enterprise and automotive sectors in Germany, he also operates as an independent infrastructure consultant. Currently bridging the gap between robust backend systems and MLOps, Serhat focuses on the intersection of real-time streaming data and production-ready AI."
,confirmed,Pavlo Borysov,1,1,IT-Dienstleistungen K.Rozankovic,Pavlo Borysov.png,https://www.linkedin.com/in/pavlo-borysov-ml/,,,,From AI Hype to Real User Value: Building a Teacher Cockpit for Live Language Lessons,"The talk is based on his current project: a Teacher Panel for a German language school. The goal of the app is to help teachers run live Zoom lessons with less switching between Word documents, lesson materials, Zoom chat, vocabulary notes, links, and post-lesson Telegram messages. The main idea of the talk would be that AI should not be the starting point of a product. The starting point should be the real workflow, user constraints, and business value.
AI should not be the starting point of a product. The starting point should be the real workflow, user constraints, and business value. In this project, he carefully uses AI only where it actually supports the teacher—for example, vocabulary support, translations, grammar hints, or lesson preparation—while keeping teacher review and manual approval as core product principles.
Points to be covered:
* discovering real teacher workflows and pain points;
* turning DOCX-based methodology files into a structured live lesson panel;
* separating teacher-only guidance from student-facing material;
* designing safe copy/send workflows for Zoom and Telegram;
* deciding where LLMs add value and where classic automation is better;
* architecture and implementation lessons from building a practical AI-enabled MVP.
This talk could be useful for engineers and technical leaders because it focuses not on adding AI everywhere, but on designing AI-enabled tools around real users, reliability, trust, and production constraints.
Vibe coding and AI tools make implementation faster, but they do not replace product thinking: understanding users, discovering real pain points, validating value, and deciding what should not be automated.",,"Pavlo Borysov is a Machine Learning / AI Engineer based in Hamburg, with a background in software engineering, business intelligence, data engineering, and enterprise process automation. He has led software and BI teams in large organizations and currently focuses on practical AI/ML engineering, LLM-based applications, data-driven automation, and integrating AI-enabled tools into real business workflows. His recent work includes AI assistants, workflow automation, API-based integrations, and product-oriented tools for education and business processes."
,confirmed,Mesut Ayata,1,1,Thoughtworks,Mesut Ayata.png,https://www.linkedin.com/in/mesut-ayata/,,,,RAG Beyond the Demo: Why Context Matters More Than Models,"RAG systems are easy to demo but hard to make reliably useful. The gap between prototype and real performance is rarely the model, but context quality. Retrieval, chunking, ranking, and context construction shape system behavior, and weaknesses in these layers lead to irrelevant answers, poor grounding, and overconfident outputs, even with strong models.
This talk explores practical ways to improve RAG systems: better retrieval signals, cleaner context assembly, noise reduction, and aligning context with user intent.",,"Mesut has been in IT for around two decades, and currently working as Principal Data Architect at Thoughtworks. He served in different roles leading multiple cross functional teams and technical leads with experience in Mobility, Automotive, Digital Transformation and more areas with a wide range of technology stack from on-prem to cloud solutions, architecture and modern development practices."
