YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Robert Hodges,1,1,Altinity,Robert Hodges.png,https://www.linkedin.com/in/berkeleybob2105/,,,,Keynote: coming soon,Keynote: coming soon,,"Robert Hodges is the CEO of Altinity, a company specializing in open-source database solutions, particularly ClickHouse. Based in Berkeley, California, he brings deep expertise in database technology, distributed systems, and open-source development. A graduate of the University of Washington, Robert is an active voice in the data engineering community, frequently sharing insights and engaging with industry professionals."
,confirmed,Andrei Shcherbinin,1,1,Social Discovery Group,Andrei Shcherbinin.png,https://www.linkedin.com/in/a-scherbinin/,,,,Hybrid Rule+MLLLM Moderation at Scale,"Case study on scaling hybrid moderation pipelines, blending rules, MLLLM classifiers for gray-area chats, and routing to reviewer queues. Andrei will provide end-to-end workflows with policy-aligned labeling, imbalance-aware evaluation beyond accuracy, precise thresholding, and moderator feedback loops to detect drift and adapt to shifting abuse tactics in production.",,"Andrei Shcherbinin is a Machine Learning Team Lead at Social Discovery Group with a background in building and scaling production ML systems for real-world products. He leads cross-functional teams delivering machine learning solutions across attribution, recommendations, automation, and monitoring, with a focus on reliable ML infrastructure and measurable business impact.

Previously a Senior ML Engineer at the same company, he developed ML monitoring platforms, marketing attribution models, and high-precision NLP systems including automated support chatbots. Earlier roles include Data Scientist positions at Simple App and FunBox, where he worked on LLM applications, personalization systems, telecom analytics, and large-scale data pipelines.

His work spans technologies such as Python, Kubernetes, AWS, Airflow, Spark, and modern LLM tooling, with an emphasis on production ML, automation, and scalable data workflows."
,confirmed,Arnaud Jean,1,1,AWS,Arnaud Jean.png,https://www.linkedin.com/in/thewitcherish/,,,,Create Your Own Role-Playing Game with Agentic AI using Strands Agents,"Come discover how to code a Game Master that will orchestrate multiple AI agents, each specialized in a particular task.
We'll explore concepts like agent tools, the MCP (Model Context Protocol), A2A (Agent to Agent), and RAG (Retrieval-augmented generation) to create agents and/or MCP servers that roll dice, verify DnD rules, and generate the story as it unfolds.
Whether you're a role-playing game fan or not, there will be things to learn during this workshop :)",,"Helping Devs build cool stuff, learn faster, and laugh along the way — one bug at a time.
𝘈𝘭𝘭 𝘷𝘪𝘦𝘸𝘴 𝘦𝘹𝘱𝘳𝘦𝘴𝘴𝘦𝘥 𝘢𝘳𝘦 𝘮𝘺 𝘰𝘸𝘯."
,confirmed,Chukwunonso Ikemba,1,1,Skipton Building Society,Chukwunonso Ikemba.png,https://www.linkedin.com/in/chukwunonso-ikemba/,,,,Telepathy Is Just Pattern Recognition: Why Brain Signals Are Just Another Language AI Can Learn,"Your brain produces consistent neural patterns for every action, 'raise hand' fires the same core pathways regardless of why. If AI can decode languages, it can decode brain signals as language. I'll show why 'raise hand' may just be the foundation for the next level in human technological advance.",,"I’m an AI researcher working across healthcare, human–computer interaction, and next-gen neural interfaces. My work includes collaborating with NHS personnel on how AI can improve health literacy in the UK, focusing on real-world impact rather than hype.
I’m also developing a long-term exploratory project on AI-mediated communication between biological signals and digital systems, investigating how neural activity patterns might one day translate into meaningful computer instructions.
My speaking experience is growing, but my sessions are known for being clear, practical, and grounded. No buzzwords, just solid insight into what AI can actually do today and what it might unlock tomorrow."
,confirmed,Dr David Crepaz-Keay,1,1,The Mental Health Foundation,Dr David Crepaz-Keay.png,,,,,Building a Safe and Effective Mental Health Support Bot: The Mental Health Foundation Approach,"As generative AI is increasingly applied to mental health, the risks of harm, misinformation, and inappropriate support grow alongside its potential benefits. This presentation describes the Mental Health Foundation’s approach to building a mental health support bot that is safe, ethical, and effective—placing mental health expertise at the centre of prompt engineering.
The work builds on the speaker’s experience developing the original Public Health England Mind Plan tool, now hosted by NHS England, and applies established public mental health principles to large language model design. The talk explores how prompt engineering can be used to define clear role boundaries, prevent diagnostic or therapeutic overreach, respond appropriately to distress, and ensure consistent signposting to human support.
Rather than optimising for fluency alone, the Mental Health Foundation’s approach uses prompt constraints, tone guidance, and escalation logic to prioritise safety, trust, and real-world use in sensitive contexts. The session also reflects on collaboration between mental health specialists and technical teams, demonstrating how domain-led prompt design reduces risk while enabling genuinely supportive interactions.
This presentation offers a practical case study in building mental health bots that are helpful without being unsafe—and shows why mental health applications require more than generic AI capability.",,"Dr David Crepaz-Keay, FRSPH, is Head of Research and Applied Learning at the Mental Health Foundation, a 75 year old public mental health NGO. He leads the London based research team and is responsible AI, LLMs and knowledge management systems for the organisation.
Dr Crepaz-Keay is a former co-chair and now member of the ethics, policy and position committee of the International Society for Psychiatric Genetics and a fellow of the Royal Society for Public Health. He is an editor of the Journal of Mental Health Training, Education and Practice; the Oxford Handbook of Philosophy and Public Mental Health and the Handbook of Phenomenology, Values and Clinical Decision-Making in Personalised Mental Health Care. He has been a technical advisor for the World Health Organisation, senior mental health advisor to Public Health England, written a mental health module for the Open University, written, spoken and campaigned for improvements in mental health services."
,confirmed,Erik Schwartz,1,1,TheAiExpert.ai,Erik Schwartz.png,https://www.linkedin.com/in/eschwaa/,,,,From Context To Impact: How To Ship An AI App In A Day,"This year I argued that context engineering is the real power tool behind great prompts. Next year I want to show what happens when you take that seriously and push it all the way to shipping real software in a single day.
In this session we will move from theory to practice. I will unpack the context patterns that actually hold up once you leave the playground and build for real users. Multi layer memory, data boundaries, llms.txt style controls, retrieval patterns that survive messy SharePoint and inboxes, and the review loops you need so legal, compliance and IT can sleep at night.
Then I will connect it to something very practical. My “Ship Your First App In A Day” workshops, where non technical leaders go from “what is a terminal” to a deployed, context aware AI app by 5pm. I will break down the scaffolding that makes that possible. How we design prompts around specific jobs to be done, how we shape context so models stay on track, and how we hand these experiments over to professional engineering teams without losing the magic.
You will leave with a concrete blueprint to take your own prompt engineering practice from clever instructions on a screen to working AI apps that your business can actually use.",,"Erik Schwartz is a technology leader, entrepreneur, and founder of theAiExpert.ai, with over 25 years at the intersection of search, knowledge discovery, and artificial intelligence. He has held senior roles at Comcast, Elsevier, and Microsoft, where he pioneered large-scale platforms and introduced generative AI into mission-critical products used by millions.
At Elsevier, Erik spearheaded ScopusAI, a breakthrough generative AI solution that transformed how researchers discover and evaluate knowledge — a project that exemplifies his talent for turning cutting-edge innovation into measurable business value.
Today, through theAiExpert.ai, Erik acts as a Fractional Chief AI Officer (CAIO), helping organisations move from AI-curious to AI-powered. He designs agentic workflows, compliance accelerators, and adaptive AI systems that cut costs, reclaim time, and unlock growth.
A regular speaker, writer, and host of the London AI Dinner, Erik is recognised for his ability to demystify AI for executives, inspire bold thinking, and deliver strategies that bridge experimentation with impact."
,confirmed,Harrison Kirby,1,1,Great Wave AI,Harrison Kirby.png,https://www.linkedin.com/in/hakir/,,,,Operating LLMs Where Failure Isn’t an Option,"Large Language Models are inherently probabilistic systems, yet many of the environments adopting them demand determinism, auditability, and accountability. In these contexts, “mostly correct” is indistinguishable from failure, and reliability cannot be achieved through prompt tuning or model alignment alone. This talk argues that determinism is not a model property but an architectural one: control must be engineered through orchestration, validation layers, policy enforcement, and structured human oversight. It further explores how scaling reliable AI systems is less about adding workflow branches and more about standardizing governed agent primitives, shared contracts, constraints, and evaluation frameworks that allow flexibility within certified boundaries.",,"Harrison Kirby is CTO and Co-Founder of Great Wave AI and Founding Director of the Centre for GenAIOps. With over 15 years of experience across engineering, operations, and technical leadership, he focuses on building and scaling AI systems that bridge research and real-world deployment. Based in the UK, he works at the intersection of GenAI, platform architecture, and applied innovation."
,confirmed,Jake Page,1,1,MetalBear,Jake Page.png,https://www.linkedin.com/in/jake-page-aws/,,,,The Limits of Vibe Coding: What Happens When AI-Generated Code Lands in Your Cluster,"Most people aren't vibe coding an entire app from scratch and shipping it to production without a second thought. What’s more likely to happen is more subtle and potentially riskier. You've got a pre-existing service running in your cluster, it's been reviewed, it has access to your database, your secrets, your internal APIs. Then someone asks an AI assistant to add a feature. The generated code works, great! But, it also hardcodes an API key, or passes raw model output to users, or creates a public ingress to an internal service. And it lands inside a system that already has the keys to everything. The recent [Moltbook incident](https://www.wiz.io/blog/exposed-moltbook-database-reveals-millions-of-api-keys) made these blaring security concerns around AI generated code blaringly apparent, a single missing config exposed 1.5 million API keys. At a certain point AI-generated code will make its way into Kubernetes clusters and the security implications are real, are we ready to address them?
In this talk we'll break down the specific risks that AI-generated code introduces when it lands in Kubernetes, from pod security and secret management to network exposure and LLM workloads. Then we'll build the fix: open-source security skills you drop into your AI coding assistant so it generates secure defaults automatically. We'll validate those skills against a live cluster using mirrord, no image rebuilds, no redeploys, just fast feedback until the policies actually work. You'll leave with a repo you can use today and an answer to the question every team shipping AI-generated code needs to figure out: if AI writes the code, what reviews it?",,"Jake Page is a former high-school teacher turned DevOps engineer and now DevRel Engineer. Over the past five years, he has focused on cloud-native developer tooling across packaging, software delivery, FinOps, testing, and debugging, often with a strong Kubernetes angle. Now based in Lisbon, Jake is passionate about learning by doing and frequently speaks at meetups and conferences."
,confirmed,Kaan Ozdogru,1,1,Wayve,Kaan Ozdogru.png,https://www.linkedin.com/in/kaan-ozdogru-62a987160/,,,,"What breaks in production ML systems, even when all metrics look healthy","The talk explores the failure modes that emerge only after deployment, why traditional metrics miss them, and how teams can start tracking behavioural bugs that actually impact system reliability.",,"Kaan Ozdogru is a machine learning engineer at Wayve, working on end to end AI for autonomous driving. Based in London, he focuses on building and scaling learning driven systems for real world autonomy."
,confirmed,Maciej Rzasa & Aji Ghose,1,1,Chattermill,Maciej Rzasa & Aji Ghose.png,https://www.linkedin.com/in/maciejrzasa/,https://www.linkedin.com/in/aji-ghose-32bb10353/,mjrzasa,,Growing AI Projects: Where Science Meets Engineering,"LLM prototype is easy, building robust product is hard. And it's as much about people as about tech. To deliver AI to production we need to aligning two cultures: backend engineering that wants robustness and data science - navigating uncertainty. We'll tell you how to bridge this gap.",,"**[Maciej Rząsa](https://www.linkedin.com/in/maciejrzasa/)** is a Software engineer with 10+ years under his belt. At Chattermill, he turns AI research into real-world products. A fan of diving deep into black boxes, he has unusual hobby of writing regular expressions by hand and arguing about their speed. When he’s not coding, he shares knowledge as a university instructor, speaker, and meetup organiser. Bookworm, hiker, history nerd - ask him about Napoleon!

**[Aji Ghose](https://www.linkedin.com/in/aji-ghose-32bb10353/)** is Chief Scientist at Chattermill, where he leads AI research and NLP applied to large-scale customer feedback. He holds a PhD in Computational Cognitive Science focused on grounding deep learning models, and has over 15 years of experience building and deploying machine learning systems in industry. His work spans data science, large language models, semantic modelling, and human-centred AI."
