YouTubel,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Rafael Pierre,1,1,Citi,Rafael Pierre.png,https://www.linkedin.com/in/rafaelpierre/,,,,Agents Improving Agents: Closing the Loop with Evals and Observability,"Building AI agents is getting easier. Improving them systematically is still hard.
In this talk, I’ll show how we can close that loop by combining automated experiments, evaluation, observability, and coding assistants. Using Pegasus, a platform I built to automate agent experiments and evals, I’ll demonstrate how OpenTelemetry traces and spans can become feedback that a coding assistant can inspect directly. The assistant can analyse how an agent behaved, identify failure modes, make changes, rerun experiments, and evaluate whether those changes actually improved the system.
Attendees will learn how to build a practical self-improvement flywheel around agentic systems: observe what happened, understand why it happened, change the system, measure the result, and repeat.",,"Rafael Pierre is a Lead AI Engineer specialising in production AI systems, agentic applications, evaluation, and observability. He currently leads the development of Pegasus, an evaluation and observability platform for production AI agents. Over the past 7+ years, he has built and deployed AI and ML systems across organisations including Citi, Hugging Face, Databricks, ING, and ABN AMRO, with a focus on taking complex AI systems from prototype to reliable production deployments."
,confirmed,Alper Nebi Kanli,1,1,Optimizely,Alper Nebi Kanli.png,https://www.linkedin.com/in/alpernkanli,,,,Interpretability x Retrieval: Inside the Models That Power Search,"Embedding models for retrieval have long been treated as black boxes. That has started to change. A young research field at the intersection of mechanistic interpretability and information retrieval has begun opening retrievers up, and the findings quickly turn into capabilities: embeddings that unfold into interpretable latent terms, so you can actually read why a document matched; sparse features usable as an indexing vocabulary in their own right; and relevance signals you can locate and steer, changing what a retriever favours without retraining it. This talk is a tour of these findings and what they make possible in practice, including what the same lens reveals about classic failure modes such as hub documents and collapsing multi-intent queries.",,"Alper Nebi Kanlı is a Staff Software Engineer (AI Search) at Optimizely in London, where he builds search and retrieval systems. He has spent a decade working on search, AI engineering, and machine learning in production. He writes about language models at alpernebikanli.com, time to time speaks at London AI meetups including PyData London, and co-organizes the AI Signals meetup."
,confirmed,Martina Wyss,1,1,Caringdots,Martina Wyss.png,https://www.linkedin.com/in/martina-wyss-79178045/,,,,AI Can Read the Patient. But Can It Understand the Human? Beyond the Chatbot: Designing LLMs for Healthcare People Can Actually Trust,"Most LLM-in-healthcare talks come from one side or the other: either the clinical side, which tends to stay conceptual, or the engineering side, which tends to treat ""clinical context"" as a footnote rather than a design constraint. I sit across both — as a registered nurse and clinical advisor with extensive hands-on experience, and as a product developer who now builds and architects these systems directly. That combination is rare, and as a woman working in a space that's still heavily engineering-dominated, it's a perspective I don't think gets enough airtime either. It's exactly what lets a talk like this go deep on the technical side without losing what actually makes these systems safe or dangerous in a real ward.",,"Martina Wyss is an LLM and Healthcare AI Specialist working at the intersection of large language models, medicine, and digital health. With hands-on expertise in training, evaluating, and fine-tuning LLMs—specializing in prompt engineering and Reinforcement Learning from Human Feedback (RLHF)—she focuses on building safe, clinical-grade AI applications. Combining her technical LLM focus with a background as a registered nurse (Dipl. Pflegefachfrau HF) and a degree in human-centred design from the University of the Arts London, Martina bridges the gap between AI engineers, clinical workflows, and patient needs to ensure healthcare LLMs are accurate, reliable, and practical for real-world deployment."
,confirmed,Maciej Szymkowski,1,1,T-Labs and Kozminski University,Maciej Szymkowski.png,https://www.linkedin.com/in/maciej-szymkowski-ph-d-75481a228/,,,,Are we ready to trust LLMs and AI Agents?,"If we analyze recent publications (e.g., Karen Hao's book) showing how Large Language Models (LLMs) were trained (AI Agents use these models), we may have doubts when it comes to their quality and real possibilities. In this case, I am thinking about the data - its organization and the value it holds. On the other hand, in the paper published in Nature (2026) the Authors showed how easily LLMs can be manipulated. Even these two situations can raise an alarm in our heads. The main question is - can we trust LLMs and AI Agents? In this presentation, I will not only give an answer to the previously asked question but also show how can we improve (adjust) LLMs (and by that, AI Agents) and introduce (based on the concept described by Nvidia in 2025) the idea of expert models that can be a real answer to the issues with LLMs.",,"Maciej Szymkowski is a researcher in the field of Artificial Intelligence and Machine Learning. His main research areas include reasoning models, explainable and trustworthy AI as well as mathematical foundations of ML and AI. He is affiliated with T-Labs (T-Mobile Poland) where he works as a Chief AI Researcher (from July 2026). Maciej holds a Ph.D. in the field of Computer Science which was awarded by his alma mater – Bialystok University of Technology, Faculty of Computer Science (2026). The topic of his dissertation was trimodal biometrics system powered by AI (three traits from a human finger were used, Maciej build both a device and AI models to recognize a user). He was affiliated with Bialystok University of Technology, Faculty of Computer Science (2018-2026) but also with two other universities in Poland – Warsaw University of Technology (2021-2022, Faculty of Electronics and Information Technology) and with AGH in Cracow (2021-2022, Faculty of Physics and Applied Computer Science). Between 2022 and 2024 he was with Łukasiewicz Research Network – Poznań Insitute of Technology where he was Senior AI Researcher and Head of AI development team. Maciej, summarized (until now) his research work with more than 45 research papers (published in JCR journals, as chapters in the books and in conference proceedings). He also participated in several projects funded by European Commission and by National Centre for Research and Development in Poland. Maciej has also experiences in working outside of academia. He was a software developer (he started with Java as his main language but then moved to Python), data scientist, machine learning engineer, and AI engineer. Recently he was with Future Processing, Hemolens Diagnostics, and SoftServe. He is working with different companies from 2016."
,confirmed,Kannupriya Kalra & Rory Graves,1,1,LLM4S Foundation & The Trade Desk,Kannupriya Kalra & Rory Graves.png,https://www.linkedin.com/in/kannupriyakalra/,https://www.linkedin.com/in/roryjgraves/,,,LLM4S 1.0: From Idea to Production AI in Scala/JVM,"18 months after LLM4S kicked off, and one year after Kannupriya Kalra
and Rory Graves showed a usable version on the Scala Days Switzerland
stage, LLM4S has matured into a production-ready platform.
In this talk, we’ll share the journey to LLM4S 1.0, from an ambitious
idea for bringing first-class generative AI capabilities to Scala and
JVM to a complete platform for building production AI applications.
We’ll explore what worked, what failed, what we learned from building in
one of the fastest-moving areas of technology, and why Scala’s type
system and functional programming foundations have proved particularly
valuable in the age of LLMs and agents.
Along the way, we’ll demonstrate how LLM4S has evolved to support
capabilities including multi-provider LLM integration, tool calling,
MCP, agent orchestration, memory, observability, streaming, speech and
multimodal AI, and production deployment patterns.
Expect live demos, architecture diagrams, lessons from the open-source
journey, and a practical look at what it takes to move from an AI
experiment to a production-ready Scala application.
Whether you have followed LLM4S from the beginning or are discovering it
for the first time, you’ll leave with a clear picture of what LLM4S 1.0
can do, where the ecosystem is heading, and why your next AI project can
be built in Scala.",,"[Kannupriya Kalra](https://www.linkedin.com/in/kannupriyakalra/) is the Co-Founder of the LLM4S Foundation and creator of LLM4S, an AI-native platform for Scala. She is an engineering leader based in London. She contributes to the AI and Scala open-source ecosystem through the Scala Center and Google Open Source and has led Google Summer of Code programmes for the Scala Center in 2024 and 2025. She is also collaborating with Manning Publishing in New York to create practical AI learning resources for developers. A global speaker, Kannupriya has presented on AI, Scala, and open source in more than ten countries. She is passionate about empowering developers through hands-on generative AI projects, open-source contributions, and responsible AI education. Her engineering experience includes building scalable backend systems using functional Scala at Sky in London. [Rory Graves](https://www.linkedin.com/in/roryjgraves/) has been passionate about coding for as long as he can remember, starting with writing games in BASIC many years ago. Over a 30+ year career, he has worked across a vast range of systems, from embedded software to distributed, internet-scale bidding engines. His experience spans industries, company sizes, from two-person startups to multinational corporations, and programming paradigms. A long-time advocate of Scala, Rory has contributed to numerous open-source projects, including performance optimisations in the Scala compiler. Today, he works in a hybrid role supporting applied AI and ML research while continuing to mentor developers and share knowledge through public speaking. Outside software, Rory is a martial artist, a windmill tour guide, and a passionate mentor of programming and public speaking."
,confirmed,Artemis Leonardou,1,1,NOFire AI,Artemis Leonardou.png,https://www.linkedin.com/in/artemisln/,,,,Three Hours Debugging Code I Never Wrote,"An agent wrote a change. It passed review, it passed CI, and then it took a production path down for about three hours. Nothing in the diff was wrong on its own, which is exactly why it got through, and the failure only existed in the combination of the edits. I have been shipping AI-generated code to production since I was fourteen, and this incident changed how I work more than anything else has. It took far longer to diagnose than an equivalent bug I would have written myself, and the reason was not the code. It was that I could not ask the author what they had intended, and none of the reasoning behind the change existed anywhere. Commit message, pull request, ticket: nothing. This talk is that incident, and then the three checks I have run ever since. Keeping a change small enough that reverting it is genuinely one step, rather than a careful unwind at three in the morning. Actually testing that the revert works instead of assuming it will. And moving the policy check to before an action executes rather than alerting after it has already landed. I will be honest about what each one costs in shipping speed, because none of them are free. Tool-agnostic, no live demo, nothing to install. If you are handing more of your pipeline to agents this quarter, this is the failure mode I wish someone had described to me first.",,"Artemis Leonardou is a software engineer and DevRel at NOFire AI. She has been building since she was 14 and now ships AI-generated code to production as a matter of routine, which is where most of what she talks about comes from. She was selected among the top 2000 global CS talents for Y Combinator's AI Startup School, has won first place in three hackathons, and her technical content has crossed 2 million views as Artemis Codes. She has spoken at React Summit and TechBiz, speaks at DevConf.US in September 2026, and leads a hands-on workshop at Open Conf in November. She is 19 and still a full-time student."
,confirmed,Kayode Adeniyi,1,1,LSE,Kayode Adeniyi.png,https://linkedin.com/in/kadeniyi/,,,,Closing the satellite observation gap for flood insurance with AI Agents,"Parametric flood insurance pays without a claim. A satellite confirms water above a stated depth and the money moves. Organisations are buying it now for informal settlements across Africa and Asia, and the trigger has a gap. Standard Sentinel-1 thresholding over eight documented floods in dense neighbourhoods detects none of them, because side-looking radar over packed low-rise building never sees the ground, and turbid water sits close to dry concrete in backscatter. The instrument is blind where the policy is sold.
This session closes that gap with an agent, and spends most of its time on the design work that makes such an agent safe to point at money. We'll go end to end. How a spoken report in a low-resource language becomes a calibrated measurement. How it is priced, so one report is worth a measured quantity with a ceiling set by your own model's skill. How evidence accumulates until a zone crosses the payout line.
Then the constraints. A toolset with no capability to broadcast a public warning. Repeat reports from one handset adding no weight. Evals that catch the agent leading a witness. A payout computed in deterministic code a loss adjuster can rerun a year later and reproduce exactly.
You'll leave with the shape of all of it, and an honest account of where it is still weak.",,"Kayode Adeniyi is an AI Research Engineer. With years building flood models using computer vision methods and satellite technology across Africa, and a background writing production payment infrastructure in Nigeria. He has delivered AI ecosystem assessments across Africa and Latin America for the United Nations Development Programme, won the Luminance AI Challenge at Cambridge Judge Business School, and presented on auditable AI at the Palace of Westminster."
,confirmed,Oliver Gooding,1,1,IFF Research,Oliver Gooding.png,https://www.linkedin.com/in/olivergooding/,,,,Evaluating LLM Outputs When Quality is Subjective,"Most eval advice assumes you can check the answer. But a lot of high-stakes LLM work has no definitive answer- like qualitative coding, thematic analysis, narrative findings. These are outputs where two expert humans will legitimately disagree, and where ""correct"" is a judgement rather than a match. In UK government social research, those outputs feed policy decisions, so ""the model seemed confident"" is not an acceptable standard of proof.
This talk covers how we've approached validation in that environment: separating the parts of a pipeline that do have ground truth from the parts that never will, building statistical validation harnesses for the former, and designing human-in-the-loop review that catches failure in the latter. I'll cover what we measure, what we deliberately don't automate, and the failure modes we've hit.
Attendees will leave with a practical framework for deciding which parts of a subjective pipeline can be evaluated algorithmically, which need human judgement by design, and how to defend either choice to a sceptical client.",,"Oliver Gooding is AI & Automation Lead at IFF Research, a UK social research agency working for central government clients including DWP, the Home Office and HMRC. He built and leads IFF's AI strategy and governance framework, and has spent the last two years shipping production LLM tooling into government research projects, from automated figure checking to LLM-assisted content analysis. He has a background in social research methodology and an MSci in Physics from Bristol."
,confirmed,Karthigeyan R J,1,1,Comply2Reg,Karthigeyan R J.png,https://www.linkedin.com/in/karthigeyanrj/,,,,Beyond RAG: Graph RAG & Small Language Models for Regulated Industries,"Generalist RAG systems fail in high-stakes domains like finance. They can't handle the intricate cross-references and conditional logic of regulatory text, leading to hallucinations and making them untrustworthy.
In this talk, I will share our practical journey building a domain-specific AI for regulatory compliance. We'll cover: 1. Architecture Evolution: Moving from standard vector RAG to a Graph RAG architecture that uses a regulatory ontology to understand relationships, not just retrieve text.
2. SLM Advantage: How combining Graph RAG with specialized Small Language Models (SLMs) yields higher accuracy, 80x lower cost, and drastically improved output stability compared to generalist LLMs .
3. Ensuring Reliability: A framework for synthetic data generation, benchmarking, and continuous evaluation to make inherently probabilistic AI systems auditable and reliable for production. We will include a practical architecture walkthrough and a live demo of our approach.",,"Karthigeyan R J is the Founder of Comply2Reg, building domain-specific AI for banks and financial institutes in the regulatory and compliance space. He formerly worked as a GenAI Solution Expert at 4CRisk.ai (acquired by CUBE, UK - market leader in RegTech) and has hands-on experience fine-tuning models and building agentic workflows for regulated environments."
,confirmed,Guilherme Santos,1,1,Blindsight,Guilherme Santos.png,https://www.linkedin.com/in/guilherme-tamagnini/,,,,"Technically, You Did Ask or Prompt Lawyering. How AI games human requests","Long before language models, we had AI systems that found clever ways to satisfy exactly what we asked for but not what we meant. An AI playing Tetris learned to pause the game before it lost, so it technically never lost. We laughed at the time, but the alignment problem behind it was never solved, and agents now have far more capabilities than just pausing a game.
This talk is about what happens when an agent follows the request against the intent of its user: where that behaviour comes from, what it means for security, and which mitigations actually exist today.",,"Guilherme Santos is an ethical hacker and co-founder and CEO of Blindsight, a Zurich-based AI security company. A former Fortune 500 red teamer and zero-day hunter, he now works on adversarial attacks against AI systems and agents, including prompt injection, data poisoning and agent misuse. He is Global Ambassador for Germany at the Global Council for Responsible AI and is a regular speaker at GITEX, IT-SA, ShmooCon, and many more."
