YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Bart Czernicki,1,1,Microsoft,Bart Czernicki.png,https://www.linkedin.com/in/bartczernicki/ ,,,,Keynote: Decision Intelligence under Uncertainty with Generative AI,"Decision making is one of the most sought after skills by executives. With the advent of Generative AI, decision making can be optimized to unlock the full potential of human judgement. This hands-on lab introduces the theory of Decision Intelligence with Generative AI (frame decisions, surface assumptions, evaluate decision quality under uncertainty), then applies GenAI as a structured reasoning process. You will practice many advanced Decision Intelligence GenAI techniques.",,"Bart Czernicki is a technology leader, executive advisor, and author specializing in cloud, AI, machine intelligence, and decision intelligence. He currently serves as Principal Technical Director and Global Black Belt for Artificial Intelligence at Microsoft, working with strategic customers on generative AI and machine learning transformation initiatives. With more than 25 years in technology and 18 years focused on AI and machine intelligence, Bart combines deep technical expertise with business strategy and enterprise-scale delivery. He is also an author, startup advisor, and active contributor to the global AI community."
,confirmed,Maciej Szymkowski,1,1,Future Processing,Maciej Szymkowski.png,https://www.linkedin.com/in/maciej-szymkowski-ph-d-75481a228/,,,,Everybody lies but data doesn't: the rise of Dr AI-House,"“Don't worry, most of you could be cured by a monkey with an aspirin” - Dr. Gregory House’s legendary cynicism used to target patient incompetence, but in 2026, it’s time to ask: should that monkey be replaced by an AI agent? In this session, we dive deep into the deployment of AI and classical ML across the biomedical and medical pipelines. We’ll skip the hype and look at the architectures. In Computer Vision we will check why RF-DETR is consistently outperforming YOLO in liver MRI and CT segmentation and detection of pathological changes. On the other hand, we will also consider Clinical NLP case where we leverage LLMs (Gemini, GPT, Bielik and Qwen) equipped with custom inference logic to parse patient interviews. We will also take a deeper look at drug discovery. We will observe how utilizing a multi-modal stack of VLMs and Vision models can accelerate the R&D lifecycle in that area. The presentation will be concluded by answering the ultimate question: Has the ""Silicon Dr House"" already arrived, or are we still just hallucinating the cure?",,"Maciej Szymkowski holds a PhD in Computer Science. Since April 2025, he has been working at Future Processing as a Senior Machine Learning Engineer. Previously, he was affiliated with Bialystok University of Technology (Faculty of Computer Science, 2018–2026), Warsaw University of Technology (Faculty of Electronics and Information Technology, 2021–2022), and AGH University of Science and Technology in Cracow (Faculty of Physics and Applied Computer Science, 2021–2022).
He has also gained experience as a researcher on diverse projects and as a software developer and engineer in multiple companies, including SoftServe, Symmetra, Transition Technologies, and Hemolens Diagnostics. From 2022 to 2024, he worked at the Łukasiewicz Research Network, Poznan Institute of Technology, where he served as Head of the AI Development section.
Maciej Szymkowski is the author or co author of more than 45 research papers published in JCR journals, book chapters, and international conference proceedings. His primary research interests lie in computer vision, particularly in medicine and transport, as well as Vision Language Models, Large Language Models, and machine learning algorithms.
In his free time, he enjoys expanding his knowledge, taking long walks, reading books, and watching soccer, basketball, and hockey. He is a fan of Legia Warsaw, Real Madrid, the New York Knicks, and the Pittsburgh Penguins."
,confirmed,Max Saltonstall & Salim Virji,1,1,Datadog & Google,Max Saltonstall & Salim Virji.png,https://www.linkedin.com/in/maxsaltonstall/,https://www.linkedin.com/in/lasagnaboy/,,,Scaled approaches to managing AI workloads,"New model? New customers? Both??? Your AI workloads are constantly changing, both inputs and outputs, and you need new ways to track success. We will explain how you can do evals at scale, track evals-as-code, and proper experimentation. Join experts from different large-scale SaaS providers to learn how you can evolve, track and constantly improve your measuring and monitoring of AI systems in production.",,"[Max Saltonstall](https://www.linkedin.com/in/maxsaltonstall/) tells stories about the Cloud, how to tell where it’s working (or not), and what diverse solutions our customers have created. He’s part of Datadog’s Advocacy team, with a passion for storytelling, narrative and dad jokes. Max loves to juggle, eat new foods and play games of all types. He lives in New York City with his partner and two children.

[Salim Virji](https://www.linkedin.com/in/lasagnaboy/) develops reliable engineering practices and processes for Google’s SRE organization, and has built consensus and storage services for Google infrastructure. Salim’s interests include distributed systems and machine learning. He has contributed to several books on SRE, including [The Site Reliability Workbook](https://sre.google/workbook/table-of-contents/) and [Implementing Service Level Objectives](https://www.alex-hidalgo.com/the-slo-book). Salim received an AB in Classics from the University of Chicago and is a New York City Master Composter."
,confirmed,Jinlin He & Rob Bajra,1,1,Databricks,Jinlin He & Rob Bajra.png,https://www.linkedin.com/in/jinlin-he/,https://www.linkedin.com/in/robinbajra/,,,Your LLM Doesn't Know What 'ARR' Means (Yet): A survey of semantic layers,"A semantic layer is a business translation layer that sits between your data and your data consumers (like human users or AI agents).

A semantic layer is critical for AI agents because it condenses and standardizes business logic so that generic LLMs can better understand your business. Traditionally, semantic layer was embedded within a BI tool and was created manually. But as AI agents become the primary way of retrieving information, the process of building semantic layers needs to be scalable and semantic layers need to be decoupled from downstream tools.

In this talk, we explore a few common approaches to building AI friendly semantic layers.",,"[Jinlin He]() is a Data scientist turned Solutions Architect at Databricks with 6+ years in ML/AI engineering and pre-sales. She enjoys the intersection of systematic problem solving and open-ended search space in technical sales.

Rob Bajra is a Solutions Architect with Databricks based in New York City. Rob specializes at the intersection of agents and data apps. With a background in AI engineering and data science, Rob has led the development of influencer marketplaces, digital twins and dynamic pricing systems. Rob has previously worked as an AI Engineer at JetBlue Airways and Data Scientist at Southwest Airlines."
,confirmed,Drew Wilkins & Syed Abbas,1,1,Bindable AI,Drew Wilkins & Syed Abbas.png,https://www.linkedin.com/in/wilkins/,https://www.linkedin.com/in/syed-abbas-196b722/,,,Beyond IAM: Building the Accountability Layer for Autonomous Agents,"Autonomous AI agents are no longer operating in isolation. As ecosystems built on MCP, A2A, and similar agent protocols enable agents to collaborate across tools, services, and organizational boundaries, traditional IAM models are starting to show their limits. Identity and access control alone cannot answer questions around accountability, traceability, delegated decision-making, or responsibility when autonomous systems interact with each other at scale.

This session explores the emerging accountability gap in modern agent architectures and examines what governance needs to look like once agents gain autonomy, interoperability, and the ability to trigger actions across multiple systems. We will discuss practical challenges around auditability, trust boundaries, policy enforcement, and operational oversight in production-grade AI environments, along with architectural approaches for building accountability layers that extend beyond conventional IAM.",,"[Drew Wilkins](https://www.linkedin.com/in/wilkins/) is CEO and co-founder of Bindable AI LLC, where he focuses on lifecycle accountability frameworks for autonomous AI agents operating in high-stakes environments. Previously, Drew held senior leadership roles at major advertising and digital experience firms, helping organizations navigate the intersection of technology, customer experience, and organizational change. His career has centered on technology shaping human experience, translating complex technologies into trusted, meaningful systems. Drew has pursued formal AI study through programs at Massachusetts Institute of Technology and Stanford University, and one of his ventures received a U.S. Coast Guard innovation award for applied AI innovation. He holds an MBA from Emory University and a BA in Philosophy from Emory College.

[Syed Abbas](https://www.linkedin.com/in/syed-abbas-196b722/) is a Senior Business and Integration Architect who specializes in simplifying complex technology. He brings 20 years of experience as a Solutions and Data Architect, including 16 years delivering large-scale enterprise programs across the automotive, pharmaceutical, biomedical, and manufacturing sectors. Syed’s background spans SAP and enterprise integration platforms, identity protocols, and large-scale data architecture, now applied to production-grade AI agents and AI security research. He holds a B.S. in Computer Science."
,confirmed,Sonali Priya,1,1,LB Networks,Sonali Priya.png,https://linkedin.com/in/priyasonali,,,,Human-in-the-Loop UI Design for Generative AI Systems,"Generative AI and large language models are rapidly transforming how enterprise user interfaces are conceived, prototyped, and refined. While these systems accelerate exploration and automate repetitive design tasks, they also introduce new challenges in preserving human judgment, design intent, and organizational brand consistency. This session examines emerging human-in-the-loop frameworks that position LLMs as collaborators rather than replacements for expert designers. Drawing on real-world enterprise UX patterns, the talk outlines how AI-generated outputs can be systematically evaluated to maintain usability, accessibility, and human-centered design principles. It highlights approaches to ensuring that generative variations remain aligned with brand guidelines, interaction models, and product standards—especially in regulated or high-stakes environments. The session further explores workflow models for integrating generative AI into UI design processes, including collaborative review loops, intent-preserving prompt strategies, and safeguards against drift in accessibility or experience coherence. By comparing the strengths of human intuition with the scale and speed of LLM-driven systems, attendees will gain clarity on where AI meaningfully accelerates design iteration—and where human oversight remains essential.",,"Sonali Priya is a Creative Design Director based in St. Louis, Missouri, specializing in building purposeful, scalable, and inclusive digital experiences at the intersection of design, development, and systems thinking. With over eight years of experience in product design and full-stack engineering, she has led multidisciplinary teams to deliver accessible, high-performance solutions for enterprise clients worldwide. Currently leading design at LB Networks, a global provider of network monitoring and optimization tools, Sonali drives platform-wide design initiatives, collaborates with stakeholders, and mentors cross-functional teams. She architects and evolves design systems to ensure consistency, accessibility, and scalability across products. Her career progression from Software Developer to Software Team Lead to Creative Design Director enables her to bridge technical depth with design strategy. She has led modernization efforts, improved engineering workflows, and contributed to development using React, TypeScript, PHP, MySQL, and Node.js. Sonali has delivered key initiatives including the Business Service Portal and OcularIP UI modernization, enhancing performance, usability, and accessibility."
,confirmed,Lev Andelman,1,1,TeraSky,Lev Andelman.png,https://www.linkedin.com/in/levandelman/,,,,Imperfect Is Fine (When It’s You),"Humans hallucinate memories, forget decisions, and confidently state wrong facts - and we built entire civilizations around it. Yet when AI does the same, we call it broken. 
This talk uses cognitive science, live audience experiments, and real-world engineering failures to expose the double standard killing your AI adoption. You’ll leave with a practical framework: validate the output, not the process - and stop demanding perfection from AI that you never demanded from yourself.",,"Lev Andelman is a Co-Founder and CTO at TeraSky Group with over 15 years of experience designing and managing large-scale production environments. He specializes in cloud, DevOps, and infrastructure across Unix/Linux and Windows systems, with a track record of leading engineering teams and building robust R&D, QA, and production platforms."
,confirmed,Anubha Kabra,1,1,Bloomberg,Anubha Kabra.png,https://www.linkedin.com/in/anubha-kabra/,,,,From Prompt to Production,"AI applications often look impressive in demos but fail once they encounter real-world users, changing data, operational constraints, and governance requirements. Many teams discover these issues only after launch—when trust, reliability, and cost become production blockers rather than research problems.
This talk introduces a practical framework for evaluating whether an AI system is actually ready to ship. Using a deceptively simple Retrieval-Augmented Generation (RAG) assistant as a running example, we’ll walk through the hidden gaps that prototypes frequently overlook: data freshness, hallucination handling, observability, safety guardrails, latency, scaling costs, ownership, and governance.

Rather than focusing on model architecture alone, the session reframes AI deployment as a systems and decision-making problem. Attendees will learn five production-readiness lenses that can be applied across AI products and internal enterprise systems:

* Data & Retrieval
* Trust & Safety
* Observability & Debuggability
* Cost & Scale
* Governance & Ownership

The talk also explores real tradeoffs teams face in practice, including precision vs. coverage, latency vs. cost, and experimentation vs. reliability. By the end of the session, attendees will leave with a concrete checklist and decision framework they can use to evaluate AI pilots, reduce deployment risk, and move from prototype success to production reliability.",,"Anubha Kabra is a Senior ML research Engineer at Bloomberg. She is working on trustworthy and production-ready AI agents and systems. Her work focuses on observability, evaluation, and reliability for enterprise-scale LLM agentic applications. She has presented research at major conferences including NeurIPS, ACL, NAACL and works on building practical frameworks for deploying high-stakes AI systems responsibly."
,confirmed,Chrys Li,1,1,TAILORU Collective,Chrys Li.png,https://www.linkedin.com/in/chrysli/,,,,Beyond Prompts: Context Architecture for Reliable LLM Systems  ,"Most LLM failures are not caused by a bad prompt alone. They often emerge from missing, unstable, or poorly structured context: unclear goals, conflicting source material, weak evidence hierarchy, fragmented memory, vague role definitions, and undefined decision boundaries.

This talk introduces Context Architecture as the missing design layer between prompt engineering, retrieval, evals, governance, and production behavior. We’ll look at how context can be structured as a system: what the model needs to know, what it should prioritize, what it should ignore, how state should be carried forward, and where human judgment needs to remain explicit.

The session will share a practical framework for designing context packages, behavior constraints, signal flows, and handoff artifacts that make LLM systems more reliable, inspectable, and easier to improve over time. Rather than treating prompts as isolated instructions, the talk reframes context as infrastructure: the layer that shapes how an LLM interprets tasks, reasons through ambiguity, and behaves inside real workflows.",,"Chrys Li is an AI systems and service design strategist focused on designing intelligent systems inside complex organizations. Her work spans enterprise platforms, regulated environments, AI-enabled products, and large-scale service ecosystems, with a focus on translating ambiguity into structured, build-ready systems.

She has led systems and experience design initiatives across logistics, healthcare, financial services, telecom, education, enterprise software, and other sectors. More recently, her work has focused on AI behavior, context architecture, human-AI collaboration, and the design of operational frameworks that help teams move from AI experimentation to practical implementation.

Chrys is an independent consultant where she develops frameworks, workshops, and applied AI methods for product, design, and business teams adapting to AI-era systems."
,confirmed,Juan Petter,1,1,ARF,Juan Petter.png,https://www.linkedin.com/in/petterjuan/,,,,The Missing Layer in Agentic AI: Governance,"Most teams are moving fast on agents, but very few are governing them well. In production, the real problem is not capability — it is control: how to evaluate risk, bound autonomy, preserve auditability, and keep systems stable under uncertainty. In this talk, I will introduce the architecture behind ARF (Agentic Reliability Framework), a governance layer for agentic infrastructure that converts probabilistic AI outputs into deterministic, auditable decisions. The session explores Bayesian risk scoring, expected-loss decisioning, bounded memory systems, and calibrated escalation mechanisms designed to make autonomous AI survivable inside real enterprise environments.",,"Juan Petter is an AI Engineer and founder building the Agentic Reliability Framework (ARF), a governance and control plane for agentic infrastructure. His work focuses on making AI systems provably safe, auditable, and operationally viable in production environments. He has experience across cloud infrastructure, technical support, full-stack engineering, and AI systems design."
