YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Sunil Gattupalle,1,1,Harness,Sunil Gattupalle.png,https://www.linkedin.com/in/gvsunil/,,,,Keynote: From Data Platform to Agent Platform: Building Structured Intelligence with Knowledge Graphs and MCP,"As AI agents move beyond demos, the real challenge becomes giving them reliable, structured access to enterprise systems. This talk walks through how we evolved a unified data platform into an agent-ready platform using a semantic layer, knowledge graph principles, and MCP-based tool abstractions. We'll cover how structure—not just models—enables reasoning, governance, and cross-system workflows. The focus is on practical design patterns that make agents usable in real production environments.",,"Sunil is an Engineering Architect focused on building production-grade AI and data platforms at scale. With over 20 years of experience across companies like Harness, Traceable AI, Cisco (AppDynamics), Aruba, and Juniper, his work spans distributed systems, knowledge graphs, API security, and real-time analytics. He currently leads enterprise Data and AI Platform initiatives at Harness, including knowledge graph–driven RAG systems and agentic AI workflows. He has contributed to multiple U.S. patents and writes about bridging traditional systems engineering with modern AI architectures."
,confirmed,Lior Schejter,1,1,,Lior Schejter.png,https://www.linkedin.com/in/liors/,,,,MAD About Software Design - When AI Architects Argue,"What if software design debates weren’t between engineers…but between AI agents? We’ll explore the pattern of multi-agent debate, and how it can be applied to software design questions. What’re the challenges, and how can it complement human architectural thinking.",,"A software professional for over 20 years and software enthusiast for over 40 years.
Still curious about how to develop software better, in whatever scale.
And generally curious about how things work in the world."
,confirmed,Marta Gajowa,1,1,Stealth Startup,Marta Gajowa.png,https://www.linkedin.com/in/martagajowa/,,,,Neuroinspired AI: From Analogy to Mechanism,"I will talk about current brain-inspired AI and discuss the actual mechanics behind the ""20W brain"" pitch to move beyond simple inspiration toward systems that deeply mirror biological inner workings. I’ll highlight how modern neurotechnology provides direct access to the biological data that LLM interpretability researchers are currently forced to infer. Finally, I’ll introduce Neuraffica, my project bridging neuroscience and AI to turn these biological ground truths into reality.",,"Marta Gajowa: Experimental and computational neuroscientist on the founder path. Spent 15 years in research, moving from lab to lab — Krakow, Paris, UC Berkeley — building neurotechnology for mapping how signals propagate through neural circuits. Published author in peer-reviewed journals, including Nature Neuroscience and Neuron. Now building Neuraffica, where the goal is simple: stop guessing what makes brains efficient and start measuring it — then transfer those principles to AI. Happy to chat after the talk about why the next AI architectures might come from biology, not benchmarks."
,confirmed,Aaron Zamora,1,1,Cribl,Aaron Zamora.png,https://www.linkedin.com/in/aaron--zamora/,,,,Stop burning Cash & Cache: Know which LLM queries Spark Joy,"At the end of the month, your AI bill tells you what you spent, not whether you spent it well. Which queries were expensive? Which ones kept repeating? Are users even happy with the responses? Most teams have no idea. In this talk, I walk through a function that answers all three questions, even as AI logs flow through the telemetry pipeline. It extracts token counts, calculates per-query costs, flags cache candidates, and runs lightweight sentiment scoring on responses. Sentiment matters here - cheap queries that frustrate users aren't worth caching. Expensive queries with happy users might be worth keeping as-is. Then I show how this visibility reveals patterns. In one environment, a particular query might show up constantly: high frequency, low cost per query, and consistently positive sentiment - an obvious cache candidate. Meanwhile, other queries are expensive and generate frustrated responses. That's not a caching problem, that's a signal the model needs help. I'll walk through the function and code and show how it fits into any telemetry pipeline that supports in-flight transformation. Attendees leave with a working pattern they can adapt to their own stack. This session is for engineers who are suddenly responsible for AI infrastructure and need visibility before they can take action.",,"Aaron Zamora is a Principal Technical Marketing Engineer at Cribl and recovering Splunk engineer who likes shipping things more than talking about shipping things. He’s built demos, pipelines, and one fictional coffee company that became a company-wide Brand / Story. He’s also optimized Grafana monitoring to cut alert fatigue by 40%. When not wrangling telemetry, he’s using Grafana to figure out why some runs feel awful. Usually it’s sleep, heat, or beer. Sometimes all three."
,confirmed,Aoi Minamoto,1,1,Aimoji Healthcare,Aoi Minamoto.png,https://www.linkedin.com/in/aoiminamoto/,,,,"From Voice to Cognitive Insights: Building KinaBot, an AI System for Early Cognitive Awareness","Large language models are rapidly transforming how humans interact with machines. Yet most AI systems focus on generating text, rather than understanding the deeper cognitive signals embedded in human communication.
In this talk, Aoi Minamoto introduces KinaBot, an AI system that transforms everyday conversations into measurable cognitive insights. By combining speech processing, natural language analysis, and large language models, KinaBot analyzes conversational patterns such as vocabulary diversity, sentence structure, response latency, and semantic coherence to generate indicators of cognitive trends over time.
Unlike traditional cognitive assessments that rely on clinical tests conducted in controlled environments, KinaBot explores a new paradigm: continuous, natural, and non-invasive cognitive monitoring through daily conversations.
The talk will demonstrate how voice interactions can be converted into structured signals that help individuals, families, and caregivers better understand changes in communication and cognitive patterns.",,"Aoi Minamoto is a data scientist, AI entrepreneur, and founder of AImoji, an AI startup developing human-centered AI systems that transform everyday conversations into meaningful insights. She is the creator of KinaBot, a voice-based AI platform that analyzes conversational language patterns and converts them into structured cognitive indicators using speech analysis, natural language processing, and large language models.
Her work focuses on bridging generative AI, speech intelligence, and human-centered computing, exploring how conversational data can reveal patterns related to cognition, communication, and well-being.
In addition to her startup work, Aoi currently works in advanced manufacturing engineering in the United States, supporting lithium-ion battery production at Toyota Motor North America’s manufacturing facility in North Carolina, where she works with automation systems, industrial data platforms, and manufacturing analytics.
Aoi is an IEEE Senior Member and an active contributor to the global technology community. Her interdisciplinary work connects artificial intelligence, data science, and real-world engineering systems, with the goal of building AI technologies that are both technically robust and socially meaningful."
,confirmed,Radhika Gundavelli,1,1,Rescale,Radhika Gundavelli.png,https://www.linkedin.com/in/radhikagundavelli/,,,,Capacity Planning for LLMs: Sizing and Funding Clusters Before You Know Your Workload,"Sizing infrastructure for LLM workloads is uniquely hard: model architectures shift, training cycles are unpredictable, and inference demand can spike overnight. Yet most capacity decisions are still made by intuition rather than modeling, resulting in either wasteful over-provisioning or painful bottlenecks at the worst moments. This talk offers a structured approach to capacity planning and cost strategy that works even before your workload is fully understood.",,"Radhika Gundavelli is an Engineering and Program Management Leader at Rescale, specializing in multi-cloud HPC and AI infrastructure. Based in the San Francisco Bay Area, she leads customer-facing technical programs focused on capacity planning and scalable compute platforms."
,confirmed,Sandhya Subramani,1,1,AWS,Sandhya Subramani.png,https://www.linkedin.com/in/sandhyasubramani/,,,,Towards Self-Evolving Autonomous AI Agents,"What happens when AI agents encounter tasks they cannot solve? Most agents fail because their capabilities are fixed. This talk explores a new approach using only open-source frameworks where agents can now adapt themselves by dynamically generating and integrating new tools at runtime. We will examine the architectural mechanisms that enable this, including how new functionality is validated and incorporated safely during execution. Through a live demo, attendees will see an agent encounter a novel task, build the required capability, and complete the workflow without redeployment. Attendees will additionally gain practical engineering insights into the tradeoffs and design considerations involved in building autonomous agentic systems that evolve beyond their original design.",,"Sandhya Subramani is a Senior Developer Advocate for Generative AI at Amazon Web Services, specializing in applied AI research and production-grade machine learning systems. She previously served as a Lead Applied AI Scientist at a stealth AI startup and as a Data Scientist at Warner Bros. Discovery, where she focused on applied AI/ML research and data-driven product development. Earlier in her career, she worked as an AI Engineer at Fidelity Investments within enterprise cybersecurity. Sandhya’s expertise spans generative AI, NLP, applied machine learning research, and translating advanced AI capabilities into real-world applications."
,confirmed,Elizabeth Fuentes Leone,1,1,AWS,Elizabeth Fuentes Leone.png,https://www.linkedin.com/in/lizfue/,,,,Stop AI Agents from Making Up Facts: Graph-RAG for Reliable Data Retrieval,"Traditional RAG has a fundamental limitation: vector search retrieves text, not structured data. When you need precise answers, LLMs guess aggregations from text chunks
instead of executing calculations. This causes wrong averages, fabricated counts, and approximate results.
Graph-RAG solves this by storing data as entities and relationships, enabling structured queries that execute calculations instead of estimating from text. Join me as I build
a travel agent demo that compares both on 515K hotel reviews proving where RAG fails and how graphs deliver accurate answers.",,"Elizabeth Fuentes Leone is an AWS Developer Advocate at Amazon Web Services with a background in Data Science and a focus on Generative AI. She works with developers and technical communities to help them understand and build with cloud and AI technologies, sharing practical guidance on modern application development and machine learning. Originally from Venezuela and based in the United States, she brings a strong combination of technical expertise and community engagement to help teams adopt and apply AI-driven solutions."
,confirmed,Titus Capilnean,1,1,Civic,Titus Capilnean.png,https://www.linkedin.com/in/tituscapilnean/,,,,We’re Giving AI Agents Too Much Power,"AI agents can now run workflows, access tools, and make decisions across real systems. Projects like OpenClaw show how fast autonomous agents are evolving. But in the rush to make agents more capable, we’ve skipped an important question: what should they actually be allowed to do? This talk explores why guardrails are becoming essential infrastructure for AI, and how teams can safely give agents access to real tools without losing control.",,"Titus Capilnean is the VP of Go-to-Market at Civic, which builds guardrails that let developers safely run AI agents with access to real tools and systems. He has spent his career leading marketing and growth at startups and tech companies bringing emerging technologies to market. He’s a passionate advocate for building AI systems that are secure, transparent, and accountable."
,confirmed,Dreema Patel,1,1,Adobe,Dreema Patel.png,https://c910d6efd32c57bc92891a42dafb76eb.eu-west-1.resend-clicks-a.com/CL0/https:%2F%2Fwww.linkedin.com%2Fin%2Fdreemapatel%2F/1/0102019cfcea746c-43f3bd4e-6583-432d-8b83-0be7f983ac95-000000/pKBF55PuzXZaFnxbLEZNVqU7GFJS4tMHoaj7ieU_LFs=449,,,,AI Powered Developer Productivity in Enterprise LLM Driven Engineering,"Enterprise web development has expanded rapidly with the adoption of microservices architectures, cloud native infrastructure, API driven ecosystems, and distributed data platforms. Large organizations now operate hundreds of services, thousands of APIs, and complex CI/CD pipelines across multi cloud environments. While these architectures enable scalability and rapid innovation, they also create significant cognitive load for engineering teams who must navigate extensive documentation, service dependencies, compliance requirements, and evolving architectural standards. This session explores how large language models and AI systems are becoming practical productivity accelerators in modern enterprise development workflows. The talk first examines AI driven knowledge systems that unify fragmented technical documentation across code repositories, architecture diagrams, ticketing platforms, and internal knowledge bases. Through semantic search and retrieval augmented generation, engineers can interact with institutional knowledge conversationally and retrieve contextual insights from distributed sources, reducing the time spent locating critical technical information. The presentation then discusses AI assisted development environments where intelligent coding tools support engineers by generating service scaffolding, validating API contracts, recommending refactoring strategies, and identifying potential security issues. These capabilities help automate repetitive development tasks such as boilerplate generation, syntax corrections, and dependency analysis. The session also highlights AI enabled testing and developer onboarding systems that analyze historical defect patterns and architectural documentation to guide testing strategies and accelerate knowledge transfer. Together, these capabilities demonstrate how human AI collaboration can improve developer productivity while maintaining engineering oversight in large scale enterprise platforms.",,"Dreema Patel is a Software Engineer with over 10 years of experience building large scale, customer facing web platforms used by millions of users globally. She has deep expertise in modern frontend technologies, including React, Node.js, and JavaScript, and is known for leading complex engineering initiatives end to end. Her work focuses on designing scalable frontend architectures, improving product growth, and delivering high quality systems through strong technical leadership and cross functional collaboration. She currently works as a Software Engineer 4 at Adobe in San Jose, where she architected and led major initiatives such as Discover Mode for Acrobat Web. This product led growth initiative enabled anonymous users to explore premium workflows while maintaining security and compliance. The feature generated $3.3M in incremental FY25 revenue and significantly increased product discovery. She also led the development of the Expand Download experience, creating a modular frontend system supporting multiple document conversion pipelines and successfully delivering the feature to millions of users. Prior to Adobe, Dreema held multiple engineering roles at PayPal, including Staff Software Engineer and Senior Software Engineer. She led frontend architecture for PayPal’s Cryptocurrency Web platform and mentored a team of engineers while collaborating with compliance, risk, and legal teams to launch secure crypto user reward programs. Her earlier work contributed to scaling Venmo Business Profiles and improving merchant onboarding systems used by merchants across more than 190 countries. She holds a Master of Science in Software Engineering from San Jose State University and a Bachelor of Engineering in Computer Engineering from Gujarat Technological University."
